year,states,Lon,Lat
2023,Para,-54.91609303,-4.198757164
2022,Para,-50.29662689,-4.470989456
2025,Amazonas,-63.29531071,-2.301072178
2020,Mato Grosso,-59.33113266,-12.48478951
2026,Para,-49.9432082,-3.49923137
2021,Para,-49.42828918,-2.289543704
2026,Amazonas,-60.97201824,-3.23448423
2026,Para,-55.49157585,-3.600305533
2028,Para,-53.17288513,-3.351414747
2027,Acre,-68.02286995,-9.347601695
2026,Acre,-69.05045441,-9.336717448
2020,Para,-47.94984188,-3.833642415
2026,Rondonia,-62.1098378,-9.257532556
2027,Para,-51.19543198,-3.845733745
2027,Acre,-67.9435965,-9.355683646
2029,Maranhao,-46.93863461,-2.334654769
2026,Para,-51.73018925,-4.298790969
2028,Rondonia,-62.43543583,-8.794217916
2019,Amapa,-50.95470863,1.826028745
2028,Maranhao,-47.14365124,-3.938692288
2023,Para,-52.94786785,-3.627739265
2022,Para,-47.41445793,-1.629201521
2023,Maranhao,-48.70472282,-2.423641058
2022,Para,-48.31041859,-3.013645206
2029,Amapa,-51.70714188,3.713108735
2026,Amazonas,-59.81067455,-3.20389578
2022,Mato Grosso,-59.97855019,-11.56779453
2027,Para,-54.50697098,-4.446676402
2024,Amazonas,-61.33202469,-3.205350616
2019,Para,-51.39687008,-7.072310745
2019,Rondonia,-63.48246067,-10.55595666
2019,Para,-49.62094101,-5.490878463
2019,Acre,-71.49031761,-8.648937221
2022,Acre,-67.04122009,-9.6254776
2020,Maranhao,-46.9657666,-4.000762739
2028,Para,-50.3929285,-3.767230971
2020,Para,-55.76073494,-3.200233452
2027,Acre,-67.99375343,-9.25115487
2026,Para,-56.03016479,-2.262485354
2021,Para,-51.3737381,-3.757715589
2020,Mato Grosso,-59.33113266,-12.44566867
2029,Para,-51.22718285,-2.743787269
2028,Para,-56.32595512,-5.661657412
2027,Roraima,-61.28732246,2.382635595
2019,Mato Grosso,-57.90894665,-10.68982751
2025,Para,-54.3391835,-2.84723866
2020,Para,-49.7206567,-2.648392003
2019,Para,-48.10026871,-1.577810132
2019,Maranhao,-45.37888355,-5.278180978
2025,Mato Grosso,-59.82024223,-11.6194936
2019,Mato Grosso,-54.66348484,-11.32717735
2024,Rondonia,-65.01242958,-10.25897913
2024,Acre,-71.16812675,-8.594619136
2024,Mato Grosso,-59.8420079,-11.87229222
2024,Mato Grosso,-59.82875435,-12.36843576
2019,Para,-48.10449875,-4.918425703
2026,Para,-51.62707848,-3.088190763
2019,Mato Grosso,-59.54676926,-11.29283162
2028,Para,-46.54663849,-2.218126109
2022,Maranhao,-45.37600376,-4.596468358
2028,Para,-53.50563698,-2.166739743
2019,Mato Grosso,-59.38883087,-10.2145206
2019,Mato Grosso,-50.39710224,-10.90852972
2020,Para,-48.78904362,-2.745513425
2019,Para,-55.2284359,-6.589030671
2022,Para,-49.39325443,-3.198566318
2024,Rondonia,-63.87080017,-10.0213702
2022,Para,-55.40624107,-4.243443385
2020,Mato Grosso,-57.94554634,-11.46455747
2027,Para,-50.74483788,-5.608456841
