,gid,origin_id,pathrow,dsfnv,julday,ano,areakm_squared,scene_id,lon,day,uf_AC,mainclass_DESMATAMENTO,class_name_d2008,class_name_d2015,class_name_d2016,month_1,month_10,month_11,month_12,month_2,month_4,month_5,month_7,month_9,year_2009,year_2010,year_2011,year_2012,year_2015,year_2016,year_2017,states_Amapa,states_Amazonas,states_Maranhao,states_Mato Grosso,states_Para,states_Rondonia,states_Roraima,view_date_month_3,view_date_month_6,view_date_month_8,view_date_weekday_0,view_date_weekday_1,view_date_weekday_2,view_date_weekday_3,view_date_weekday_4,view_date_weekday_5,view_date_weekday_6,view_date_is_month_end_0,view_date_is_month_start_0,view_date_hour_12,publish_ye_month_1,publish_ye_weekday_3,publish_ye_weekday_4,publish_ye_weekday_6,publish_ye_is_month_end_0,publish_ye_is_month_start_1,lat,Label
395,306517,610071,22263,2014,239,2015,0.000442711,2578,-46.60167694,27,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,1,1,0,0,1,1,-3.952455044,-4.065319395
396,583743,1095599,22661,2007,232,2008,0.098586671,757,-52.49705887,19,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,1,0,0,0,1,1,-1.367341042,-1.29070488
397,249809,543756,22062,2007,254,2008,0.432386965,679,-44.23790741,10,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,1,1,-2.90507412,-2.966148038
398,633367,1225701,22761,2010,219,2012,0.172625884,1696,-54.17537308,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,1,0,0,1,1,1,-1.228334427,-1.189200293
399,117719,367094,23258,2007,226,2008,0.401480108,614,-61.17647552,13,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,1,0,1,0,0,0,1,1,2.543609381,2.514546964
400,50267,200492,23159,2013,254,2015,0.04466936,2565,-60.07223511,11,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,1,1,0,0,1,1,1.311673641,1.66732958
401,614442,1169521,22659,2015,224,2017,0.01367525,100738,-51.50446701,12,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0,1,0,0,1,1,1,0.758251309,0.79862378
402,555846,1032777,22663,2008,205,2010,0.091539189,1114,-52.63956833,24,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,1,0,1,1,-3.783075809,-3.746887808
403,417223,751612,22464,2007,234,2008,0.093329303,592,-50.85107803,21,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,1,0,0,0,1,1,-5.094883919,-5.132162004
404,472412,834291,22463,2013,253,2015,0.254758537,2574,-50.3568306,10,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,1,0,0,1,1,-3.802721739,-3.77628191
